name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Pat Connaughton,POR,25,4,0,4,14.8,4,1.5,3.8,40,0.5,2.5,20,0.5,0.5,100,0.5,0.5,1,1.5,0.3,0.3,0.3,2.3,8.7,0,0,-5.8
Meyers Leonard,POR,26,2,0,2,4.1,4,2,2,100,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6.4,0,0,6
Alex Abrines,OKC,24,6,2,4,18.3,4,1.3,3.3,40,1,2.2,46.2,0.3,0.3,100,0.5,2.2,2.7,0.3,0.2,0.8,0.3,1.8,11,0,0,4
Shane Larkin,BOS,25,11,7,4,14,3.7,1.5,3.2,45.7,0.4,1.2,30.8,0.5,0.5,100,0.1,0.9,1,1.8,0.5,0.5,0,1.4,8.5,0,0,-1.3
David West,GSW,37,14,10,4,10.5,3.7,1.7,2.9,60,0,0.1,0,0.3,0.3,100,0.6,1.6,2.3,2,0.5,0.4,0.5,1.4,11.7,0,0,0.4
Solomon Hill,NOP,27,9,5,4,12.7,3.7,1,2.8,36,0.7,1.8,37.5,1,1.1,90,0.7,1.2,1.9,0.8,0.7,0.1,0.1,1.9,7.1,0,0,-2.1
Gorgui Dieng,MIN,28,5,1,4,14.1,3.4,1.2,3.6,33.3,0.4,1,40,0.6,0.8,75,0.6,3,3.6,0.8,0.2,0.4,0.8,1.2,12.3,0,0,-0.2
Davis Bertans,SAS,25,5,1,4,16.5,3.4,0.6,3.6,16.7,0.6,3.2,18.8,1.6,2.2,72.7,0.2,2,2.2,1.2,0.2,0.4,0,2,8.8,0,0,0.6
Bam Adebayo,MIA,20,5,1,4,15.4,3.4,1.4,3,46.7,0,0.2,0,0.6,2.8,21.4,1.8,2.2,4,0,0.4,0,0.4,1.6,9,0,0,-5.6
Amir Johnson,PHI,31,8,4,4,11.7,3.3,1.4,2.6,52.4,0,0,0,0.5,0.6,80,1.8,1.1,2.9,1.1,0.4,0.3,0.1,1.3,9.1,0,0,2.4
Furkan Korkmaz,PHI,20,1,1,0,1.6,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3
Caleb Swanigan,POR,21,1,0,1,7.9,3,0,2,0,0,1,0,3,4,75,0,2,2,1,1,0,0,1,5.9,0,0,11
Nick Young,GSW,32,16,11,5,10.5,2.9,0.9,2.5,35,0.8,2.3,35.1,0.4,0.5,75,0.1,0.6,0.6,0.3,0.1,0.1,0,0.9,4.1,0,0,0.6
Nene,HOU,35,11,8,3,9.8,2.8,1.1,1.8,60,0,0,0,0.6,1,63.6,0.5,2,2.5,0.5,0.7,0.2,0.5,1.6,7.7,0,0,1.6
Luc Mbah a Moute,HOU,31,9,5,4,16.6,2.8,1,4,25,0.3,1.7,20,0.4,0.8,57.1,0.3,2.1,2.4,0.3,0.7,0.7,0.4,0.9,8.9,0,0,-7.3
Ed Davis,POR,28,4,0,4,17.7,2.8,1.3,2.5,50,0,0,0,0.3,1,25,1.3,6.8,8,0,1,0,0.3,1.8,12.1,0,0,0
