name,team,age,gp,wins,losses,min,ortg,drtg,netrtg,astp,ato,orbp,drbp,toratio,efg,tsp,usg,pace,pie
Hassan Whiteside,MIA,28,5,1,4,15.4,90.8,106,-15.3,2.1,0.08,2.6,13,27.8,20.1,31,45,50.5,20.7
Gorgui Dieng,MIN,28,5,1,4,14.1,98.7,95.8,2.9,8.9,4,16.2,4.1,19.5,11.9,4,38.9,43,13.8
Otto Porter Jr.,WAS,24,5,2,3,31.6,105.4,109.8,-4.4,7.1,2.67,14.4,0.7,18.9,9.5,5.4,54.9,56.2,13.3
Goran Dragic,MIA,32,5,1,4,31.3,104.7,110.8,-6.2,24.7,1.53,18.7,2.1,6.9,4.5,12.2,52,54.9,27.8
Ty Lawson,WAS,30,5,2,3,19.3,105.9,107.5,-1.6,23.4,5,32.2,2.4,12.1,7.5,6.4,44.2,50.6,14.7
Zaza Pachulia,GSW,34,5,3,2,4,114.5,71.5,43,7.1,0.5,10.4,26.3,17.4,21.4,20.7,75,67.8,17.3
Taj Gibson,MIN,32,5,1,4,24.6,98,109.7,-11.8,2.6,0.5,6.8,6.7,10.6,8.8,13.6,63.6,66.5,10.6
Tyler Johnson,MIA,26,5,1,4,16.2,105.5,111.9,-6.4,7.7,2,11.4,1.4,9.6,5.5,5.7,65.4,68.8,16.8
Manu Ginobili,SAS,40,5,1,4,21.3,106.3,110.7,-4.4,24.2,2.29,24.7,1,15.9,7.9,10.8,48.6,53.8,19.6
Pau Gasol,SAS,37,5,1,4,18.1,101.9,115.3,-13.5,24.1,2.33,31.5,2.5,29.7,15.7,13.5,52.5,61.5,15.5
Wayne Ellington,MIA,30,5,1,4,20.1,92.1,112.6,-20.5,5.7,1,7.1,0.9,7.7,4,7.1,51.4,53.7,16.4
Dwyane Wade,MIA,36,5,1,4,25.5,101.9,99.8,2.1,28.6,1.64,16.3,2.3,15,8.4,10,44.3,51,30.2
Derrick Rose,MIN,29,5,1,4,23.8,114,116.3,-2.3,17.1,1.63,16,1,7.5,4.3,9.9,57,59.1,25.6
Dejounte Murray,SAS,21,5,1,4,19.2,100.8,109.5,-8.7,18,1.8,18.4,4.1,20.2,11.6,10.2,51.6,55.8,20.2
Davis Bertans,SAS,25,5,1,4,16.5,105.5,107.6,-2.2,9.5,6,20.1,1.4,14.5,7.8,3.4,25,37.2,12.5
Rudy Gay,SAS,31,5,1,4,31.9,100.6,108.2,-7.6,13.1,1.83,12.8,5.8,14.3,9.7,7,43.1,44.2,21.6
Danny Green,SAS,30,5,1,4,20.6,91.3,116.6,-25.3,1.6,0.5,3,4.1,9.1,6.3,6.1,35,35,14.7
Jimmy Butler,MIN,28,5,1,4,34.1,110.5,112.4,-1.9,18,4,20.9,2.2,17.1,10.1,5.2,50.8,55.7,20.6
Damian Lillard,POR,27,4,0,4,40.6,105.1,119.1,-14,16.5,1.19,16.7,1.8,11.2,6.1,14.1,41.5,47.1,24.8
Damian Jones,GSW,22,4,4,0,2.7,65,137.8,-72.8,0,0,0,7.1,28.6,14.3,47.5,50,60.2,23.3
Tyus Jones,MIN,22,4,1,3,13.7,99.8,97.2,2.6,20.5,8,50,0,15.5,8.4,6.3,28.6,28.6,6.8
Wade Baldwin IV,POR,22,4,0,4,4.8,100.4,89.6,10.7,18.8,1,27.6,0,20,10,27.6,37.5,41,18
Ed Davis,POR,28,4,0,4,17.7,106.8,110.2,-3.4,0,0,0,8.5,46.6,27.4,25.4,50,46.8,10.2
CJ McCollum,POR,26,4,0,4,38.9,108.1,119.6,-11.5,14.3,1.56,13.2,0,6.3,2.8,8.5,59.1,61,24.9
