name,team,age,rafgm,rafma,rafgp,paintfgm,paintfga,paintfgp,mrfgm,mrfga,mrfgp,lcfgm,lcfga,lcfgp,rcfgm,rcfga,rcfgp,atbfgm,atbfga,atbfgp
Matthew Dellavedova,MIL,27,1,1,100,1,2,50,0,0,0,0,0,0,0,0,0,2,9,22.2
Maurice Harkless,POR,25,4,5,80,0,1,0,1,1,100,0,2,0,1,1,100,1,3,33.3
Meyers Leonard,POR,26,4,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Scott,WAS,29,7,9,77.8,5,7,71.4,7,14,50,2,2,100,1,3,33.3,4,6,66.7
Myles Turner,IND,22,17,21,81,2,5,40,8,15,53.3,0,1,0,1,1,100,5,11,45.5
Nemanja Bjelica,MIN,30,2,8,25,1,1,100,0,0,0,0,0,0,1,1,100,3,6,50
Nene,HOU,35,12,18,66.7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Young,GSW,32,1,1,100,0,1,0,0,1,0,3,7,42.9,0,0,0,10,30,33.3
Nikola Mirotic,NOP,27,21,27,77.8,2,7,28.6,4,17,23.5,1,3,33.3,2,2,100,19,45,42.2
Norman Powell,TOR,25,3,7,42.9,0,0,0,0,0,0,0,0,0,1,3,33.3,0,4,0
OG Anunoby,TOR,20,14,21,66.7,2,2,100,0,0,0,4,11,36.4,5,11,45.5,4,7,57.1
Otto Porter Jr.,WAS,24,3,6,50,3,7,42.9,9,16,56.3,1,3,33.3,0,0,0,4,9,44.4
PJ Tucker,HOU,33,11,18,61.1,6,14,42.9,0,1,0,15,28,53.6,15,31,48.4,5,16,31.3
Pascal Siakam,TOR,24,18,25,72,3,9,33.3,1,3,33.3,0,1,0,3,3,100,0,0,0
Pat Connaughton,POR,25,4,5,80,0,0,0,0,0,0,0,0,0,0,1,0,2,8,25
Patrick McCaw,GSW,22,0,0,0,0,0,0,1,1,100,0,1,0,-,-,-,0,0,0
Patrick Patterson,OKC,29,0,1,0,0,0,0,1,1,100,0,1,0,1,2,50,1,1,100
Patty Mills,SAS,29,7,10,70,1,2,50,4,10,40,0,1,0,1,1,100,12,33,36.4
Pau Gasol,SAS,37,5,8,62.5,3,6,50,1,3,33.3,1,1,100,0,0,0,0,2,0
Paul George,OKC,28,14,28,50,6,11,54.5,10,28,35.7,0,1,0,1,3,33.3,18,47,38.3
Quinn Cook,GSW,25,11,17,64.7,2,5,40,9,12,75,2,8,25,0,3,0,5,18,27.8
Rajon Rondo,NOP,32,25,45,55.6,1,13,7.7,4,15,26.7,1,1,100,2,4,50,5,14,35.7
Raul Neto,UTA,26,3,9,33.3,2,5,40,0,2,0,0,0,0,1,1,100,1,6,16.7
Raymond Felton,OKC,33,4,6,66.7,1,5,20,0,5,0,2,5,40,2,2,100,3,8,37.5
Richaun Holmes,PHI,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ricky Rubio,UTA,27,4,10,40,1,10,10,13,27,48.1,2,4,50,2,2,100,6,26,23.1
Robert Covington,PHI,27,11,26,42.3,0,5,0,1,4,25,3,4,75,2,5,40,10,39,25.6
Rodney Hood,CLE,25,8,11,72.7,7,13,53.8,9,22,40.9,0,1,0,1,5,20,2,12,16.7
Rodney McGruder,MIA,26,0,1,0,0,0,0,1,1,100,0,1,0,0,0,0,0,1,0
Royce O'Neale,UTA,24,16,22,72.7,1,5,20,1,1,100,1,4,25,1,7,14.3,8,17,47.1
Rudy Gay,SAS,31,11,15,73.3,3,11,27.3,8,21,38.1,1,3,33.3,0,1,0,3,14,21.4
Rudy Gobert,UTA,25,53,77,68.8,2,7,28.6,0,0,0,0,0,0,0,0,0,0,0,0
Russell Westbrook,OKC,29,23,45,51.1,5,22,22.7,21,52,40.4,1,3,33.3,0,0,0,14,38,36.8
Ryan Anderson,HOU,30,1,2,50,0,1,0,1,2,50,1,1,100,2,2,100,2,12,16.7
Semi Ojeleye,BOS,23,3,6,50,1,4,25,0,1,0,4,6,66.7,1,4,25,1,12,8.3
Serge Ibaka,TOR,28,7,10,70,8,17,47.1,6,21,28.6,1,2,50,0,1,0,8,21,38.1
Shabazz Muhammad,MIL,25,4,7,57.1,1,6,16.7,0,2,0,1,2,50,0,0,0,3,3,100
Shabazz Napier,POR,26,4,5,80,1,2,50,0,0,0,0,0,0,0,0,0,0,4,0
Shane Larkin,BOS,25,11,17,64.7,0,2,0,1,3,33.3,0,2,0,0,1,0,4,10,40
Shaun Livingston,GSW,32,24,29,82.8,8,28,28.6,14,37,37.8,0,0,0,0,0,0,0,0,0
Solomon Hill,NOP,27,1,3,33.3,2,5,40,0,1,0,1,4,25,2,3,66.7,3,9,33.3
Stephen Curry,GSW,30,38,48,79.2,8,24,33.3,12,31,38.7,5,11,45.5,3,7,42.9,34,90,37.8
Sterling Brown,MIL,23,1,1,100,1,1,100,0,0,0,0,0,0,1,2,50,0,1,0
Steven Adams,OKC,24,20,30,66.7,7,16,43.8,0,0,0,0,0,0,0,0,0,0,0,0
T.J. McConnell,PHI,26,14,17,82.4,8,12,66.7,1,4,25,0,0,0,1,1,100,1,1,100
TJ Leaf,IND,21,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,0,0,0
Taj Gibson,MIN,32,10,13,76.9,4,5,80,0,4,0,0,0,0,0,0,0,0,0,0
Tarik Black,HOU,26,1,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Ferguson,OKC,20,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,1,1,100
Terry Rozier,BOS,24,30,58,51.7,12,30,40,15,31,48.4,5,12,41.7,6,11,54.5,40,124,32.3
Thaddeus Young,IND,29,28,42,66.7,6,10,60,0,1,0,2,6,33.3,0,0,0,0,1,0
Thon Maker,MIL,21,4,5,80,0,1,0,1,2,50,0,1,0,2,3,66.7,4,16,25
Tim Frazier,WAS,27,0,0,0,0,1,0,0,0,0,-,-,-,-,-,-,0,0,0
Tomas Satoransky,WAS,26,1,5,20,1,2,50,0,3,0,0,0,0,0,1,0,0,0,0
Tony Bradley,UTA,20,1,2,50,-,-,-,0,0,0,0,0,0,-,-,-,0,0,0
Tony Parker,SAS,36,6,9,66.7,4,8,50,4,15,26.7,0,2,0,0,1,0,0,2,0
Tony Snell,MIL,26,0,0,0,1,2,50,1,1,100,0,4,0,1,4,25,4,13,30.8
Trevor Ariza,HOU,32,21,37,56.8,3,10,30,0,1,0,6,16,37.5,5,20,25,15,55,27.3
Trevor Booker,IND,30,6,6,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Tristan Thompson,CLE,27,29,40,72.5,6,16,37.5,1,1,100,0,0,0,0,0,0,0,0,0
Ty Lawson,WAS,30,0,3,0,1,1,100,3,14,21.4,1,1,100,0,0,0,4,7,57.1
Tyler Johnson,MIA,26,1,4,25,4,5,80,3,7,42.9,1,1,100,2,2,100,3,7,42.9
Tyler Zeller,MIL,28,3,3,100,0,1,0,1,1,100,0,0,0,0,0,0,0,0,0
Tyus Jones,MIN,22,1,3,33.3,1,2,50,0,0,0,0,1,0,0,1,0,0,0,0
Victor Oladipo,IND,26,21,44,47.7,4,7,57.1,5,19,26.3,2,4,50,2,2,100,19,51,37.3
Wade Baldwin IV,POR,22,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,100
Wayne Ellington,MIA,30,0,1,0,0,1,0,0,3,0,1,3,33.3,2,2,100,9,25,36
Zach Collins,POR,20,5,7,71.4,2,5,40,1,4,25,0,2,0,0,4,0,3,8,37.5
Zaza Pachulia,GSW,34,2,2,100,0,0,0,1,2,50,0,0,0,-,-,-,0,0,0
Zhou Qi,HOU,22,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
