name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Pascal Siakam,TOR,24,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Steven Adams,OKC,24,3,1,2,8,6,3,3,100,0,0,0,0,0,0,4,0,4,0,0,0,0,3,10.8,1,0,2
Thon Maker,MIL,21,3,2,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,-2
Shane Larkin,BOS,25,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.2,0,0,2
Goran Dragic,MIA,32,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
James Johnson,MIA,31,2,1,1,4,2,1,2,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.5,0,0,-1
Rodney Hood,CLE,25,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3
LaMarcus Aldridge,SAS,32,2,1,1,2,6,1,1,100,1,1,100,3,3,100,1,2,3,0,0,0,0,0,9.6,2,0,3
Jordan Clarkson,CLE,25,2,1,1,4,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4.2,0,0,-1
Semi Ojeleye,BOS,23,2,1,1,5,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,2.6,0,0,-1
Zach Collins,POR,20,2,0,2,4,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1
Darius Miller,NOP,28,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Manu Ginobili,SAS,40,2,1,1,2,3,1,1,100,1,1,100,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3
Ricky Rubio,UTA,27,2,1,1,7,3,1,3,33.3,1,2,50,0,0,0,0,1,1,1,0,0,0,1,5.7,1,0,1
