name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
James Johnson,MIA ,31,5,3,100%,5,7,71.4,78.6,85.70%,4,6,66.7,14.30%,1,1,100
Nick Young,GSW ,32,10,4,100%,4,7,57.1,78.6,14.30%,1,1,100,85.70%,3,6,50
Shane Larkin,BOS ,25,10,7,100%,3,7,42.9,42.9,85.70%,3,6,50,14.30%,0,1,0
Tomas Satoransky,WAS ,26,6,5,100%,1,7,14.3,14.3,85.70%,1,6,16.7,14.30%,0,1,0
Jusuf Nurkic,POR ,23,3,2,100%,4,6,66.7,66.7,100%,4,6,66.7,0.00%,0,0,-
Pat Connaughton,POR ,25,4,3,100%,3,6,50,58.3,33.30%,2,2,100,66.70%,1,4,25
Josh Richardson,MIA ,24,5,3,100%,2,6,33.3,41.7,33.30%,1,2,50,66.70%,1,4,25
Shabazz Napier,POR ,26,2,2,100%,2,6,33.3,33.3,50.00%,2,3,66.7,50.00%,0,3,0
Thon Maker,MIL ,21,5,3,100%,2,6,33.3,50,33.30%,0,2,0,66.70%,2,4,50
Manu Ginobili,SAS ,40,5,3,100%,1,6,16.7,25,0.00%,0,0,-,100%,1,6,16.7
Andrew Wiggins,MIN ,23,5,3,100%,1,6,16.7,16.7,50.00%,1,3,33.3,50.00%,0,3,0
Raul Neto,UTA ,26,4,3,100%,0,6,0,0,66.70%,0,4,0,33.30%,0,2,0
Davis Bertans,SAS ,25,5,5,100%,0,6,0,0,16.70%,0,1,0,83.30%,0,5,0
Dejounte Murray,SAS ,21,3,2,100%,4,5,80,100,60.00%,2,3,66.7,40.00%,2,2,100
Amir Johnson,PHI ,31,7,3,100%,4,5,80,80,100%,4,5,80,0.00%,0,0,-
Jerami Grant,OKC ,24,6,2,100%,3,5,60,60,80.00%,3,4,75,20.00%,0,1,0
JaVale McGee,GSW ,30,5,4,100%,3,5,60,60,100%,3,5,60,0.00%,0,0,-
Ty Lawson,WAS ,30,5,3,100%,2,5,40,40,60.00%,2,3,66.7,40.00%,0,2,0
Matthew Dellavedova,MIL ,27,6,4,100%,1,5,20,30,0.00%,0,0,-,100%,1,5,20
Solomon Hill,NOP ,27,9,4,100%,1,5,20,30,20.00%,0,1,0,80.00%,1,4,25
Norman Powell,TOR ,25,4,4,100%,1,5,20,30,40.00%,0,2,0,60.00%,1,3,33.3
Kyle Anderson,SAS ,24,4,3,100%,3,4,75,75,75.00%,3,3,100,25.00%,0,1,0
Hassan Whiteside,MIA ,28,5,2,100%,3,4,75,75,100%,3,4,75,0.00%,0,0,-
Shabazz Muhammad,MIL ,25,1,1,100%,3,4,75,87.5,75.00%,2,3,66.7,25.00%,1,1,100
Semi Ojeleye,BOS ,23,14,4,100%,2,4,50,75,0.00%,0,0,-,100%,2,4,50
Taj Gibson,MIN ,32,4,3,100%,2,4,50,50,100%,2,4,50,0.00%,0,0,-
Justin Anderson,PHI ,24,4,2,100%,1,4,25,37.5,0.00%,0,0,-,100%,1,4,25
Trevor Booker,IND ,30,7,3,100%,3,3,100,100,100%,3,3,100,0.00%,0,0,-
Ed Davis,POR ,28,4,2,100%,3,3,100,100,100%,3,3,100,0.00%,0,0,-
Nene,HOU ,35,7,3,100%,3,3,100,100,100%,3,3,100,0.00%,0,0,-
Maurice Harkless,POR ,25,2,2,100%,1,3,33.3,33.3,66.70%,1,2,50,33.30%,0,1,0
Cedi Osman,CLE ,23,3,1,100%,1,3,33.3,33.3,66.70%,1,2,50,33.30%,0,1,0
Alex Abrines,OKC ,24,6,2,100%,1,3,33.3,50,0.00%,0,0,-,100%,1,3,33.3
Tyler Johnson,MIA ,26,3,2,100%,2,2,100,125,50.00%,1,1,100,50.00%,1,1,100
John Henson,MIL ,27,2,2,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Jose Calderon,CLE ,36,3,2,100%,0,2,0,0,0.00%,0,0,-,100%,0,2,0
Ryan Anderson,HOU ,30,7,2,100%,0,2,0,0,50.00%,0,1,0,50.00%,0,1,0
Tyler Zeller,MIL ,28,4,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Cheick Diallo,NOP ,21,1,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Jason Terry,MIL ,40,2,1,100%,1,1,100,150,0.00%,0,0,-,100%,1,1,100
Joe Johnson,HOU ,36,3,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Tim Frazier,WAS ,27,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Josh Huestis,OKC ,26,2,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Patrick Patterson,OKC ,29,6,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Gorgui Dieng,MIN ,28,4,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Guerschon Yabusele,BOS ,22,3,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Rodney McGruder,MIA ,26,2,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
