name,team,age,gp,wins,losses,min,pts,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ft%,orb,drb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,pm
Iman Shumpert,SAC,27,5,3,2,5,1,0,0,0,0,0,0,1,1,100,0,1,1,0,0,0,0,1,2.2,0,0,3
Myke Henry,MEM,25,5,1,4,8,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,0,2,1,0,0,-4
Brandon Paul,SAS,27,5,3,2,7,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,1,2,4.2,0,0,-7
Cody Zeller,CHA,25,5,2,3,10,4,1,2,50,0,0,0,2,2,100,3,0,3,0,0,0,1,2,10.6,0,0,-16
Aaron Harrison,DAL,23,5,2,3,15,8,2,4,50,1,3,33.3,3,4,75,0,2,2,0,3,0,1,2,10.4,0,0,-3
Alec Burks,UTA,26,5,1,4,16,6,2,6,33.3,0,1,0,2,2,100,0,4,4,0,0,0,0,2,10.8,0,0,-8
Jamil Wilson,LAC,27,5,1,4,12,0,0,5,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2,1.2,0,0,-23
Jose Calderon,CLE,36,5,4,1,12,0,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,1,1,5.4,0,0,15
Tony Parker,SAS,36,5,2,3,8,6,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,-6
Miles Plumlee,ATL,29,5,2,3,7,0,0,1,0,0,0,0,0,2,0,0,6,6,1,0,0,0,0,8.7,1,0,3
Sterling Brown,MIL,23,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
Jonas Jerebko,UTA,31,4,3,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4
Sam Dekker,LAC,24,4,4,0,10,3,0,1,0,0,1,0,3,4,75,0,2,2,1,0,0,0,0,6.9,0,0,15
Ryan Arcidiacono,CHI,24,4,2,2,9,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3.2,0,0,2
Amir Johnson,PHI,31,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Eric Moreland,DET,26,4,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1.2,0,0,-6
Jared Dudley,PHX,32,4,0,4,6,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1.2,0,0,-13
Troy Williams,NYK,23,4,0,4,4,1,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,1,0,0,-10
Ron Baker,NYK,25,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,0,0,-3
Andrew Bogut,LAL,33,4,2,2,1,2,0,0,0,0,0,0,2,2,100,0,0,0,0,1,0,0,3,1,0,0,1
Ekpe Udoh,UTA,31,4,1,3,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,7.2,0,0,-4
Danuel House,PHX,24,4,2,2,6,2,0,1,0,0,0,0,2,2,100,0,1,1,0,1,0,0,0,2.2,0,0,5
Malik Beasley,DEN,21,4,2,2,1,2,0,0,0,0,0,0,2,4,50,0,0,0,0,0,0,0,0,2,0,0,2
Kenneth Faried,DEN,28,3,1,2,8,0,0,1,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,2.9,1,0,-7
