name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Jonathon Simmons,ORL ,28,69,61,100%,85,177,48,53.4,73.40%,66,130,50.8,26.60%,19,47,40.4
Evan Turner,POR ,29,79,74,100%,84,177,47.5,50.6,78.50%,73,139,52.5,21.50%,11,38,28.9
John Wall,WAS ,27,41,41,100%,83,177,46.9,52.5,70.10%,63,124,50.8,29.90%,20,53,37.7
Wilson Chandler,DEN ,31,74,69,100%,69,177,39,46.6,54.80%,42,97,43.3,45.20%,27,80,33.8
D'Angelo Russell,BKN ,22,48,47,100%,76,176,43.2,53.1,48.90%,41,86,47.7,51.10%,35,90,38.9
Jordan Clarkson,CLE ,25,80,73,100%,71,176,40.3,43.2,71.60%,61,126,48.4,28.40%,10,50,20
Rondae Hollis-Jefferson,BKN ,23,66,62,100%,86,175,49.1,49.7,90.90%,84,159,52.8,9.10%,2,16,12.5
Rodney Hood,CLE ,25,60,59,100%,70,174,40.2,46.8,57.50%,47,100,47,42.50%,23,74,31.1
Michael Kidd-Gilchrist,CHA ,24,74,69,100%,96,172,55.8,55.8,99.40%,96,171,56.1,0.60%,0,1,0
Reggie Bullock,DET ,27,55,51,100%,88,171,51.5,62.3,49.70%,51,85,60,50.30%,37,86,43
Robert Covington,PHI ,27,79,65,100%,81,171,47.4,62.3,30.40%,30,52,57.7,69.60%,51,119,42.9
Ish Smith,DET ,29,82,74,100%,89,170,52.4,54.4,87.60%,82,149,55,12.40%,7,21,33.3
Rajon Rondo,NOP ,32,64,62,100%,85,170,50,56.8,63.50%,62,108,57.4,36.50%,23,62,37.1
Aron Baynes,BOS ,31,78,68,100%,84,164,51.2,52.1,94.50%,81,155,52.3,5.50%,3,9,33.3
Terry Rozier,BOS ,24,76,64,100%,69,164,42.1,51.8,49.40%,37,81,45.7,50.60%,32,83,38.6
Al-Farouq Aminu,POR ,27,69,61,100%,75,162,46.3,58,45.70%,37,74,50,54.30%,38,88,43.2
Chris Paul,HOU ,33,58,56,100%,75,162,46.3,58,48.10%,37,78,47.4,51.90%,38,84,45.2
Domantas Sabonis,IND ,22,74,67,100%,90,160,56.3,56.9,94.40%,88,151,58.3,5.60%,2,9,22.2
Ersan Ilyasova,PHI ,31,68,58,100%,82,160,51.3,60,57.50%,54,92,58.7,42.50%,28,68,41.2
Denzel Valentine,CHI ,24,76,68,100%,74,159,46.5,57.5,50.90%,39,81,48.1,49.10%,35,78,44.9
Spencer Dinwiddie,BKN ,25,78,66,100%,62,157,39.5,49.7,31.80%,30,50,60,68.20%,32,107,29.9
Buddy Hield,SAC ,24,79,65,100%,83,155,53.5,62.9,60.60%,54,94,57.4,39.40%,29,61,47.5
Draymond Green,GSW ,28,70,65,100%,67,155,43.2,49.7,53.50%,47,83,56.6,46.50%,20,72,27.8
George Hill,CLE ,32,67,61,100%,66,155,42.6,48.4,61.90%,48,96,50,38.10%,18,59,30.5
Michael Beasley,NYK ,29,62,52,100%,86,152,56.6,59.5,87.50%,77,133,57.9,12.50%,9,19,47.4
Reggie Jackson,DET ,28,45,44,100%,74,152,48.7,55.3,65.80%,54,100,54,34.20%,20,52,38.5
James Johnson,MIA ,31,72,61,100%,76,151,50.3,56,64.90%,59,98,60.2,35.10%,17,53,32.1
Kent Bazemore,ATL ,28,64,59,100%,64,151,42.4,48.7,68.90%,45,104,43.3,31.10%,19,47,40.4
Tyreke Evans,MEM ,28,52,49,100%,84,150,56,63.3,64.70%,62,97,63.9,35.30%,22,53,41.5
Danny Green,SAS ,30,70,62,100%,61,149,40.9,48.3,48.30%,39,72,54.2,51.70%,22,77,28.6
Patty Mills,SAS ,29,81,68,100%,72,148,48.6,59.8,45.30%,39,67,58.2,54.70%,33,81,40.7
J.J. Barea,DAL ,33,68,64,100%,69,148,46.6,54.7,58.10%,45,86,52.3,41.90%,24,62,38.7
Jeremy Lamb,CHA ,25,80,66,100%,70,147,47.6,55.8,61.90%,46,91,50.5,38.10%,24,56,42.9
John Henson,MIL ,27,72,62,100%,87,145,60,60,100%,87,145,60,0.00%,0,0,-
Kelly Oubre Jr.,WAS ,22,81,71,100%,64,145,44.1,53.8,51.70%,36,75,48,48.30%,28,70,40
Nikola Mirotic,NOP ,27,54,48,100%,72,143,50.3,59.8,51.70%,45,74,60.8,48.30%,27,69,39.1
Yogi Ferrell,DAL ,25,80,67,100%,69,143,48.3,57.3,49.70%,43,71,60.6,50.30%,26,72,36.1
Stanley Johnson,DET ,21,67,59,100%,59,142,41.5,49.3,54.20%,37,77,48.1,45.80%,22,65,33.8
Marcus Morris,BOS ,28,52,50,100%,63,141,44.7,53.5,58.90%,38,83,45.8,41.10%,25,58,43.1
Bobby Portis,CHI ,23,71,59,100%,72,139,51.8,58.6,67.60%,53,94,56.4,32.40%,19,45,42.2
Caris LeVert,BKN ,23,69,60,100%,66,139,47.5,56.1,60.40%,42,84,50,39.60%,24,55,43.6
Skal Labissiere,SAC ,22,57,50,100%,59,139,42.4,45.3,85.60%,51,119,42.9,14.40%,8,20,40
