name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Dennis Schroder,ATL ,24,1,1,100%,2,3,66.7,66.7,100%,2,3,66.7,0.00%,0,0,-
Nikola Vucevic,ORL ,27,2,2,100%,1,3,33.3,33.3,33.30%,1,1,100,66.70%,0,2,0
Jayson Tatum,BOS ,20,4,2,100%,1,3,33.3,33.3,100%,1,3,33.3,0.00%,0,0,-
JJ Redick,PHI ,33,2,1,100%,1,3,33.3,33.3,33.30%,1,1,100,66.70%,0,2,0
LaMarcus Aldridge,SAS ,32,2,1,100%,1,3,33.3,33.3,100%,1,3,33.3,0.00%,0,0,-
Bojan Bogdanovic,IND ,29,3,3,100%,1,3,33.3,50,0.00%,0,0,-,100%,1,3,33.3
Jonathon Simmons,ORL ,28,1,1,100%,1,3,33.3,33.3,66.70%,1,2,50,33.30%,0,1,0
Marcus Smart,BOS ,24,2,2,100%,1,3,33.3,33.3,33.30%,1,1,100,66.70%,0,2,0
Al-Farouq Aminu,POR ,27,2,1,100%,1,3,33.3,50,66.70%,0,2,0,33.30%,1,1,100
Danny Green,SAS ,30,2,1,100%,0,3,0,0,33.30%,0,1,0,66.70%,0,2,0
Joe Johnson,HOU ,36,2,2,100%,0,3,0,0,0.00%,0,0,-,100%,0,3,0
Eric Gordon,HOU ,29,2,2,100%,0,3,0,0,33.30%,0,1,0,66.70%,0,2,0
Wesley Matthews,DAL ,31,3,2,100%,0,3,0,0,0.00%,0,0,-,100%,0,3,0
Denzel Valentine,CHI ,24,4,3,100%,0,3,0,0,33.30%,0,1,0,66.70%,0,2,0
Tobias Harris,LAC ,25,1,1,100%,0,3,0,0,66.70%,0,2,0,33.30%,0,1,0
Kevin Love,CLE ,29,1,1,100%,2,2,100,150,0.00%,0,0,-,100%,2,2,100
Johnathan Motley,DAL ,23,1,1,100%,2,2,100,100,100%,2,2,100,0.00%,0,0,-
Joe Harris,BKN ,26,4,2,100%,2,2,100,100,100%,2,2,100,0.00%,0,0,-
Rajon Rondo,NOP ,32,4,1,100%,2,2,100,125,50.00%,1,1,100,50.00%,1,1,100
Justise Winslow,MIA ,22,7,2,100%,2,2,100,100,100%,2,2,100,0.00%,0,0,-
DeAndre Jordan,LAC ,29,1,1,100%,2,2,100,100,100%,2,2,100,0.00%,0,0,-
Ricky Rubio,UTA ,27,3,1,100%,2,2,100,125,50.00%,1,1,100,50.00%,1,1,100
Elfrid Payton,PHX ,24,1,1,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Rudy Gay,SAS ,31,2,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Cedi Osman,CLE ,23,2,1,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Lance Thomas,NYK ,30,2,1,100%,1,2,50,75,0.00%,0,0,-,100%,1,2,50
D'Angelo Russell,BKN ,22,1,1,100%,1,2,50,75,0.00%,0,0,-,100%,1,2,50
Robert Covington,PHI ,27,1,1,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Evan Turner,POR ,29,2,2,100%,1,2,50,75,0.00%,0,0,-,100%,1,2,50
TJ Warren,PHX ,24,1,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Jonas Valanciunas,TOR ,26,3,2,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Dejounte Murray,SAS ,21,2,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Buddy Hield,SAC ,24,3,1,100%,1,2,50,75,50.00%,0,1,0,50.00%,1,1,100
Ben Simmons,PHI ,21,2,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
PJ Tucker,HOU ,33,2,1,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Taurean Prince,ATL ,24,1,1,100%,1,2,50,75,0.00%,0,0,-,100%,1,2,50
Aaron Gordon,ORL ,22,2,2,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
DeAndre Liggins,NOP ,30,2,1,100%,1,2,50,50,50.00%,1,1,100,50.00%,0,1,0
Corey Brewer,OKC ,32,2,1,100%,1,2,50,75,0.00%,0,0,-,100%,1,2,50
Michael Kidd-Gilchrist,CHA ,24,3,2,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Jakob Poeltl,TOR ,22,1,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Rudy Gobert,UTA ,25,3,2,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Marco Belinelli,PHI ,32,1,1,100%,1,2,50,75,0.00%,0,0,-,100%,1,2,50
Tim Hardaway Jr.,NYK ,26,2,2,100%,1,2,50,75,0.00%,0,0,-,100%,1,2,50
Marc Gasol,MEM ,33,1,1,100%,1,2,50,50,100%,1,2,50,0.00%,0,0,-
Jusuf Nurkic,POR ,23,3,1,100%,0,2,0,0,50.00%,0,1,0,50.00%,0,1,0
Aaron Harrison,DAL ,23,1,1,100%,0,2,0,0,0.00%,0,0,-,100%,0,2,0
Malcolm Brogdon,MIL ,25,2,2,100%,0,2,0,0,50.00%,0,1,0,50.00%,0,1,0
Tomas Satoransky,WAS ,26,3,1,100%,0,2,0,0,100%,0,2,0,0.00%,0,0,-
Tony Snell,MIL ,26,4,2,100%,0,2,0,0,0.00%,0,0,-,100%,0,2,0
Manu Ginobili,SAS ,40,1,1,100%,0,2,0,0,50.00%,0,1,0,50.00%,0,1,0
Dirk Nowitzki,DAL ,39,2,1,100%,0,2,0,0,100%,0,2,0,0.00%,0,0,-
Andre Iguodala,GSW ,34,2,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Jamal Crawford,MIN ,38,4,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Enes Kanter,NYK ,26,1,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Al Horford,BOS ,31,3,1,100%,1,1,100,150,0.00%,0,0,-,100%,1,1,100
David Nwaba,CHI ,25,3,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Kenneth Faried,DEN ,28,1,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Langston Galloway,DET ,26,2,1,100%,1,1,100,150,0.00%,0,0,-,100%,1,1,100
Bam Adebayo,MIA ,20,6,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
D.J. Augustin,ORL ,30,2,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Steven Adams,OKC ,24,4,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Jerian Grant,CHI ,25,2,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Larry Nance Jr.,CLE ,25,1,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Torrey Craig,DEN ,27,3,1,100%,1,1,100,150,0.00%,0,0,-,100%,1,1,100
Pascal Siakam,TOR ,24,5,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Tarik Black,HOU ,26,1,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Gerald Green,HOU ,32,1,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Jason Terry,MIL ,40,4,1,100%,1,1,100,150,0.00%,0,0,-,100%,1,1,100
Tyler Johnson,MIA ,26,6,1,100%,1,1,100,100,100%,1,1,100,0.00%,0,0,-
Dwight Powell,DAL ,26,4,1,100%,1,1,100,150,0.00%,0,0,-,100%,1,1,100
JaMychal Green,MEM ,27,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Austin Rivers,LAC ,25,1,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Malik Monk,CHA ,20,1,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Luke Kornet,NYK ,22,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Kyle Collinsworth,DAL ,26,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Jalen Jones,DAL ,25,1,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Ersan Ilyasova,PHI ,31,1,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Stanley Johnson,DET ,21,3,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Draymond Green,GSW ,28,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Vince Carter,SAC ,41,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Frank Ntilikina,NYK ,19,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Tristan Thompson,CLE ,27,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
CJ Miles,TOR ,31,5,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Dorian Finney-Smith,DAL ,25,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Willie Cauley-Stein,SAC ,24,2,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Kyle O'Quinn,NYK ,28,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Luke Kennard,DET ,21,3,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Ian Clark,NOP ,27,5,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Shabazz Napier,POR ,26,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Frank Kaminsky,CHA ,25,2,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Dario Saric,PHI ,24,2,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Anthony Tolliver,DET ,32,3,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Devin Harris,DEN ,35,3,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
John Henson,MIL ,27,3,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Clint Capela,HOU ,24,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Klay Thompson,GSW ,28,2,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
Tyler Ennis,LAL ,23,2,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Kent Bazemore,ATL ,28,1,1,100%,0,1,0,0,100%,0,1,0,0.00%,0,0,-
Kelly Oubre Jr.,WAS ,22,4,1,100%,0,1,0,0,0.00%,0,0,-,100%,0,1,0
